Brand Name,Product,Price,Processor,Memory,Storage,Graphics,Display ,OS
Acer,Acer Chromebook 511 Laptop - C741L-S40D,$ CA  649.99,Qualcomm Kryo 468 processor,"Wi-Fi 5, Bluetooth 5.0 and 3G cellular connectivity",512 GB,4 GB standard memory; 32 GB Flash storage,"11.6"" IPS ComfyView 1366 x 768 display; Qualcomm Adreno 618 graphics",Chrome OS
Acer,Acer Chromebook 512 - C851T-C6B2,$ CA  489.99,IntelÂ® CeleronÂ® N4020 processor with integrated Wi-Fi 5,"12"" IPS ComfyView 1366 x 912 resolution Touchscreen display",Intel UHD Graphics 600,4 GB standard memory,32 GB Flash storage,Chrome OS
Acer,Acer Chromebook 712 - C871T-C14R,$ CA  489.99,IntelÂ® CeleronÂ® 5205U processor Dual-core 1.90 GHz,"12"" HD+ (1366 x 912) IPS display",Intel UHD Graphics,4 GB standard memory,32 GB Flash storage,Chrome OS
Acer,Acer Chromebook 315 - CB315-3H-C7LJ,$ CA  349.99,IntelÂ® CeleronÂ® N4020 processor,IntelÂ® UHD Graphics 600,"15.6"" HD (1366 x 768) Acer ComfyView display",8 GB standard memory,64 GB Flash memory,Chrome OS
Acer,Aspire Go 15 Laptop - AG15-31P-C99T,$ CA  399.99,IntelÂ® N100 processor Quad-core,4 GB LPDDR5,128 GB SSD,IntelÂ® UHD Graphics shared memory,"15.6"" Full HD (1920 x 1080) 16:9 60 Hz",Windows 11 Home in S Mode
Acer,Aspire Go 15 Laptop - AG15-31P-C6FC,$ CA  549.99,IntelÂ® N100 processor Quad-core,8 GB LPDDR5,512 GB SSD,IntelÂ® UHD Graphics shared memory,"15.6"" Full HD (1920 x 1080) 16:9 60 Hz",Windows 11 Home
Acer,Aspire 3 Laptop - A315-59-32X9,$ CA  749.99,IntelÂ® Coreâ„¢ i3-1215U processor Hexa-core 1.20 GHz,"8 GB, DDR4 SDRAM",256 GB SSD,IntelÂ® IrisÂ® Xe Graphics shared memory,"15.6"" Full HD (1920 x 1080) 16:9",Windows 11 Home
Acer,Aspire 5 Laptop - A515-58M-37S4,$ CA  749.99,IntelÂ® Coreâ„¢ i3-1315U processor Hexa-core 1.20 GHz,"8 GB, LPDDR5",512 GB SSD,"15.6"" Full HD Acer ComfyView display",IntelÂ® UHD Graphics shared memory,Windows 11 Home
Acer,Aspire 15 Laptop - A15-41M-R2S6,$ CA  849.99,AMD Ryzenâ„¢ 5 7535U processor Hexa-core 2.90 GHz,8 GB DDR5 SDRAM,512 GB SSD,AMD Radeonâ„¢ Graphics shared memory,"15.6"" Full HD (1920 x 1080) 16:9 60 Hz",Windows 11 Home
Acer,Aspire 5 Laptop - A515-45-R8EA,$ CA  999.99,AMD Ryzenâ„¢ 7 5700U processor Octa-core 1.80 GHz,"8 GB, DDR4 SDRAM",512 GB SSD,AMD Radeonâ„¢ RX Vega 8 shared memory,"15.6"" Full HD (1920 x 1080) 16:9",Windows 11 Home
Acer,Acer Chromebook 511 Laptop - C741L-S40D,$ CA  649.99,Qualcomm Kryo 468 processor,"Wi-Fi 5, Bluetooth 5.0 and 3G cellular connectivity",512 GB SSD,4 GB standard memory; 32 GB Flash storage,"11.6"" IPS ComfyView 1366 x 768 display; Qualcomm Adreno 618 graphics",Chrome OS
Acer,Acer Chromebook 512 - C851T-C6B2,$ CA  489.99,IntelÂ® CeleronÂ® N4020 processor with integrated Wi-Fi 5,"12"" IPS ComfyView 1366 x 912 resolution Touchscreen display",Intel UHD Graphics 600,4 GB standard memory,32 GB Flash storage,Chrome OS
Acer,Acer Chromebook 712 - C871T-C14R,$ CA  489.99,IntelÂ® CeleronÂ® 5205U processor Dual-core 1.90 GHz,"12"" HD+ (1366 x 912) IPS display",Intel UHD Graphics,4 GB standard memory,32 GB Flash storage,Chrome OS
Acer,Acer Chromebook 315 - CB315-3H-C7LJ,$ CA  349.99,IntelÂ® CeleronÂ® N4020 processor,IntelÂ® UHD Graphics 600,"15.6"" HD (1366 x 768) Acer ComfyView display",8 GB standard memory,64 GB Flash memory,Chrome OS
Acer,Aspire Go 15 Laptop - AG15-31P-C99T,$ CA  399.99,IntelÂ® N100 processor Quad-core,4 GB LPDDR5,128 GB SSD,IntelÂ® UHD Graphics shared memory,"15.6"" Full HD (1920 x 1080) 16:9 60 Hz",Windows 11 Home in S Mode
